CAMPUS,CAMPNAME,CDALLS,CPE0312C,CPE0312P,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETPTEC,CPETPTEP,CPETSPEC,CPETSPEP,CPETSTEC,CPETSTEP,C_RATING,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE,REGION,REGNNAME
'014906120,WILLOW SPRINGS EL,72,314,41.8,267,31.8,840,752,0,0,663,88.2,56,7.4,.,0,121,16.1,0,0,C,KILLEEN ISD,'014906,5,PK,'PK - 05,E,'12,REGION 12: WACO
'014906121,MOUNTAIN VIEW EL,81,412,49.8,138,18.3,753,828,0,0,354,42.8,53,6.4,.,0,109,13.2,0,0,B,KILLEEN ISD,'014906,5,PK,'PK - 05,E,'12,REGION 12: WACO
'014906122,REECES CREEK EL,81,382,42.9,184,23.7,777,891,0,0,766,86,101,11.3,.,0,131,14.7,0,0,B,KILLEEN ISD,'014906,5,PK,'PK - 05,E,'12,REGION 12: WACO
'014906123,CLEAR CREEK EL,85,235,35.3,218,40.1,543,665,0,0,284,42.7,29,4.4,.,0,83,12.5,0,0,B,KILLEEN ISD,'014906,5,PK,'PK - 05,E,'12,REGION 12: WACO
'014906124,CEDAR VALLEY EL,83,274,45.7,77,14.1,545,599,0,0,537,89.6,65,10.9,.,0,64,10.7,0,0,B,KILLEEN ISD,'014906,5,PK,'PK - 05,E,'12,REGION 12: WACO
'014906125,BROOKHAVEN EL,73,254,40.4,147,28.1,523,629,0,0,559,88.9,44,7,.,0,122,19.4,0,0,C,KILLEEN ISD,'014906,5,EE,'EE - 05,E,'12,REGION 12: WACO
'014906126,VENABLE VILLAGE EL,87,215,34.6,138,30.2,457,622,0,0,486,78.1,69,11.1,.,0,76,12.2,0,0,B,KILLEEN ISD,'014906,5,EE,'EE - 05,E,'12,REGION 12: WACO
'014906127,TRIMMIER EL,82,324,42.2,127,18.9,673,768,0,0,678,88.3,427,55.6,.,0,134,17.4,0,0,B,KILLEEN ISD,'014906,5,EE,'EE - 05,E,'12,REGION 12: WACO
'014906128,MONTAGUE VILLAGE EL,81,203,38.1,139,31.8,437,533,0,0,167,31.3,37,6.9,.,0,84,15.8,0,0,B,KILLEEN ISD,'014906,5,PK,'PK - 05,E,'12,REGION 12: WACO
'014906129,MAXDALE EL,69,249,40.4,130,25.7,505,616,0,0,528,85.7,56,9.1,.,0,95,15.4,0,0,Not Rated: SB 1365,KILLEEN ISD,'014906,5,EE,'EE - 05,E,'12,REGION 12: WACO
'014906130,IRA CROSS JR EL,87,277,44,148,24.5,605,630,0,0,520,82.5,43,6.8,.,0,81,12.9,0,0,B,KILLEEN ISD,'014906,5,PK,'PK - 05,E,'12,REGION 12: WACO
'014906131,IDUMA EL,76,361,44.3,141,20.5,688,814,0,0,692,85,57,7,.,0,119,14.6,0,0,C,KILLEEN ISD,'014906,5,PK,'PK - 05,E,'12,REGION 12: WACO
'014906132,OVETA CULP HOBBY EL,76,81,11.7,120,34.7,346,690,0,0,246,35.7,39,5.7,.,0,98,14.2,0,0,C,KILLEEN ISD,'014906,3,EE,'EE - 03,E,'12,REGION 12: WACO
'014906133,TIMBER RIDGE EL,74,387,46.6,156,21.2,735,831,0,0,433,52.1,54,6.5,.,0,109,13.1,0,0,C,KILLEEN ISD,'014906,5,EE,'EE - 05,E,'12,REGION 12: WACO
'014906135,SAEGERT EL,89,406,46.5,199,24,828,873,0,0,476,54.5,56,6.4,.,0,106,12.1,0,0,B,KILLEEN ISD,'014906,5,EE,'EE - 05,E,'12,REGION 12: WACO
'014906136,SKIPCHA EL,90,448,46.1,144,15.8,912,971,0,0,347,35.7,77,7.9,.,0,139,14.3,0,0,A,KILLEEN ISD,'014906,5,PK,'PK - 05,E,'12,REGION 12: WACO
'014906137,RICHARD E CAVAZOS EL,87,268,45.1,118,22.5,524,594,0,0,516,86.9,64,10.8,.,0,120,20.2,0,0,B,KILLEEN ISD,'014906,5,PK,'PK - 05,E,'12,REGION 12: WACO
'014906138,HAYNES EL,86,372,45.3,196,23.8,824,822,0,0,396,48.2,45,5.5,.,0,96,11.7,0,0,B,KILLEEN ISD,'014906,5,PK,'PK - 05,E,'12,REGION 12: WACO
'014906139,DR JOSEPH A FOWLER EL,91,346,45,279,24.9,1120,769,0,0,419,54.5,70,9.1,.,0,81,10.5,0,0,A,KILLEEN ISD,'014906,5,PK,'PK - 05,E,'12,REGION 12: WACO
'014906140,ALICE W DOUSE EL,80,447,46.1,201,23,874,969,0,0,389,40.1,67,6.9,.,0,116,12,0,0,B,KILLEEN ISD,'014906,5,PK,'PK - 05,E,'12,REGION 12: WACO
'014906141,MAUDE MOORE WOOD EL,84,300,43.2,216,28.5,757,695,0,0,590,84.9,46,6.6,.,0,134,19.3,0,0,B,KILLEEN ISD,'014906,5,PK,'PK - 05,E,'12,REGION 12: WACO
'014906142,EL142,73,434,42.5,.,.,.,1020,0,0,901,88.3,370,36.3,.,0,137,13.4,0,0,C,KILLEEN ISD,'014906,5,PK,'PK - 05,E,'12,REGION 12: WACO
'014906143,KILLEEN EL,66,423,40.9,.,.,.,1035,0,0,893,86.3,279,27,.,0,137,13.2,0,0,Not Rated: SB 1365,KILLEEN ISD,'014906,5,PK,'PK - 05,E,'12,REGION 12: WACO
'014906144,EL144,78,440,43.9,.,.,.,1002,0,0,862,86,96,9.6,.,0,143,14.3,0,0,C,KILLEEN ISD,'014906,5,PK,'PK - 05,E,'12,REGION 12: WACO
'014906145,PAT CARNEY EL,68,300,43.2,.,.,.,695,0,0,359,51.7,66,9.5,.,0,87,12.5,0,0,Not Rated: SB 1365,KILLEEN ISD,'014906,5,PK,'PK - 05,E,'12,REGION 12: WACO
'014907001,ROGERS H S,88,294,100,34,11.3,302,294,0,0,132,44.9,15,5.1,0,0,27,9.2,0,0,B,ROGERS ISD,'014907,12,9,'09 - 12,S,'12,REGION 12: WACO
'014907041,ROGERS MIDDLE,80,197,100,22,10.2,215,197,.,0,85,43.1,10,5.1,.,0,22,11.2,0,0,B,ROGERS ISD,'014907,8,6,'06 - 08,M,'12,REGION 12: WACO
'014907043,BELL COUNTY DAEP,.,1,100,2,100,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Not Rated,ROGERS ISD,'014907,9,9,'09 - 09,S,'12,REGION 12: WACO
'014907102,ROGERS EL,76,185,46.1,42,12,349,401,0,0,204,50.9,37,9.2,0,0,40,10,0,0,C,ROGERS ISD,'014907,5,PK,'PK - 05,E,'12,REGION 12: WACO
