CAMPUS,CAMPNAME,CDALLS,CPE0312C,CPE0312P,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETPTEC,CPETPTEP,CPETSPEC,CPETSPEP,CPETSTEC,CPETSTEP,C_RATING,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE,REGION,REGNNAME
'031903204,EDNA TAMAYO HOUSE,.,14,100,49,100,49,14,0,0,2,14.3,1,7.1,0,0,5,35.7,0,0,Not Rated,HARLINGEN CISD,'031903,11,9,'09 - 11,S,'01,REGION 01: EDINBURG
'031905001,LA FERIA H S,84,892,100,72,7.3,992,892,.,0,761,85.3,74,8.3,0,0,98,11,.,0,B,LA FERIA ISD,'031905,12,9,'09 - 12,S,'01,REGION 01: EDINBURG
'031905002,LA FERIA ACADEMY,91,33,100,39,66.1,59,33,.,0,31,93.9,5,15.2,0,0,3,9.1,.,0,A,LA FERIA ISD,'031905,12,10,'10 - 12,S,'01,REGION 01: EDINBURG
'031905041,W B GREEN J H,81,465,100,21,4.4,475,465,.,0,401,86.2,72,15.5,.,0,77,16.6,.,0,B,LA FERIA ISD,'031905,8,7,'07 - 08,M,'01,REGION 01: EDINBURG
'031905101,SAM HOUSTON EL,83,142,34.9,19,6.6,289,407,.,0,343,84.3,86,21.1,.,0,43,10.6,.,0,B,LA FERIA ISD,'031905,4,PK,'PK - 04,E,'01,REGION 01: EDINBURG
'031905103,C E VAIL EL,93,115,32.6,27,10.5,258,353,.,0,334,94.6,54,15.3,.,0,44,12.5,.,0,A,LA FERIA ISD,'031905,4,PK,'PK - 04,E,'01,REGION 01: EDINBURG
'031905105,NOEMI DOMINGUEZ EL,87,408,100,23,4.8,482,408,.,0,317,77.7,77,18.9,.,0,69,16.9,.,0,B,LA FERIA ISD,'031905,6,5,'05 - 06,M,'01,REGION 01: EDINBURG
'031905106,DAVID G SANCHEZ EL,87,116,33.1,28,10.6,264,350,.,0,307,87.7,64,18.3,.,0,50,14.3,.,0,B,LA FERIA ISD,'031905,4,EE,'EE - 04,E,'01,REGION 01: EDINBURG
'031906001,LOS FRESNOS H S,86,3197,100,254,7.6,3352,3197,0,0,2575,80.5,425,13.3,0,0,396,12.4,0,0,B,LOS FRESNOS CISD,'031906,12,9,'09 - 12,S,'01,REGION 01: EDINBURG
'031906003,AMI KIDS RIO GRANDE VALLEY (FKA RGMI),.,6,100,14,100,14,6,0,0,0,0,2,33.3,0,0,2,33.3,0,0,Not Rated,LOS FRESNOS CISD,'031906,11,9,'09 - 11,S,'01,REGION 01: EDINBURG
'031906005,CAMERON CO J J A E P,.,17,100,23,100,23,17,0,0,15,88.2,4,23.5,0,0,1,5.9,0,0,Not Rated,LOS FRESNOS CISD,'031906,12,7,'07 - 12,S,'01,REGION 01: EDINBURG
'031906041,LOS CUATES MIDDLE,89,847,100,50,5.6,894,847,0,0,675,79.7,160,18.9,0,0,126,14.9,0,0,B,LOS FRESNOS CISD,'031906,8,6,'06 - 08,M,'01,REGION 01: EDINBURG
'031906042,LIBERTY MEMORIAL MIDDLE,86,734,100,65,8.2,794,734,0,0,654,89.1,202,27.5,0,0,110,15,0,0,B,LOS FRESNOS CISD,'031906,8,6,'06 - 08,M,'01,REGION 01: EDINBURG
'031906101,LOS FRESNOS EL,96,237,46.8,50,12.3,406,506,0,0,384,75.9,130,25.7,.,0,78,15.4,0,0,A,LOS FRESNOS CISD,'031906,5,EE,'EE - 05,E,'01,REGION 01: EDINBURG
'031906102,VILLAREAL EL,81,194,44.2,43,12.8,335,439,0,0,347,79,146,33.3,.,0,84,19.1,0,0,B,LOS FRESNOS CISD,'031906,5,EE,'EE - 05,E,'01,REGION 01: EDINBURG
'031906103,LAS YESCAS EL,93,180,46.3,37,11.9,310,389,0,0,361,92.8,146,37.5,.,0,48,12.3,0,0,A,LOS FRESNOS CISD,'031906,5,PK,'PK - 05,E,'01,REGION 01: EDINBURG
'031906104,LOPEZ-RIGGINS EL,95,240,46.4,41,9.6,426,517,0,0,439,84.9,111,21.5,.,0,66,12.8,0,0,A,LOS FRESNOS CISD,'031906,5,PK,'PK - 05,E,'01,REGION 01: EDINBURG
'031906105,RESACA MIDDLE,86,862,100,54,6.1,882,862,0,0,646,74.9,152,17.6,0,0,107,12.4,0,0,B,LOS FRESNOS CISD,'031906,8,6,'06 - 08,M,'01,REGION 01: EDINBURG
'031906106,PALMER-LAAKSO EL,97,221,45.9,36,9,402,482,0,0,362,75.1,107,22.2,.,0,83,17.2,0,0,A,LOS FRESNOS CISD,'031906,5,EE,'EE - 05,E,'01,REGION 01: EDINBURG
'031906107,LAURELES EL,94,268,45.7,37,7.6,484,586,0,0,523,89.2,178,30.4,.,0,115,19.6,0,0,A,LOS FRESNOS CISD,'031906,5,EE,'EE - 05,E,'01,REGION 01: EDINBURG
'031906108,OLMITO EL,94,273,48.6,23,4.7,492,562,0,0,388,69,203,36.1,.,0,72,12.8,0,0,A,LOS FRESNOS CISD,'031906,5,EE,'EE - 05,E,'01,REGION 01: EDINBURG
'031906109,RANCHO VERDE EL,96,333,50.6,46,8.2,560,658,0,0,458,69.6,161,24.5,.,0,68,10.3,0,0,A,LOS FRESNOS CISD,'031906,5,PK,'PK - 05,E,'01,REGION 01: EDINBURG
'031906110,DORA ROMERO EL,94,245,46.1,52,12.2,425,531,0,0,429,80.8,143,26.9,.,0,86,16.2,0,0,A,LOS FRESNOS CISD,'031906,5,EE,'EE - 05,E,'01,REGION 01: EDINBURG
'031909001,PORT ISABEL H S,83,609,100,62,9.1,679,609,.,0,503,82.6,182,29.9,0,0,54,8.9,.,0,B,POINT ISABEL ISD,'031909,12,9,'09 - 12,S,'01,REGION 01: EDINBURG
'031909003,CAMERON CO J J A E P,.,2,100,2,100,2,2,.,0,2,100,1,50,0,0,0,0,.,0,Not Rated,POINT ISABEL ISD,'031909,11,9,'09 - 11,S,'01,REGION 01: EDINBURG
'031909041,PORT ISABEL J H,81,445,100,46,9.3,493,445,.,0,401,90.1,209,47,.,0,46,10.3,.,0,B,POINT ISABEL ISD,'031909,8,6,'06 - 08,M,'01,REGION 01: EDINBURG
'031909101,DERRY EL,89,225,49.3,56,13.3,421,456,.,0,411,90.1,199,43.6,.,0,45,9.9,.,0,B,POINT ISABEL ISD,'031909,5,PK,'PK - 05,E,'01,REGION 01: EDINBURG
'031909102,GARRIGA EL,89,197,43.2,60,16.2,370,456,.,0,433,95,194,42.5,.,0,61,13.4,.,0,B,POINT ISABEL ISD,'031909,5,PK,'PK - 05,E,'01,REGION 01: EDINBURG
'031911001,RIO HONDO H S,68,516,100,37,6.7,553,516,0,0,417,80.8,38,7.4,131,25.4,68,13.2,0,0,Not Rated: SB 1365,RIO HONDO ISD,'031911,12,9,'09 - 12,S,'01,REGION 01: EDINBURG
'031911002,CAMERON CO J J A E P,.,2,100,4,100,4,2,0,0,2,100,0,0,0,0,0,0,0,0,Not Rated,RIO HONDO ISD,'031911,10,8,'08 - 10,S,'01,REGION 01: EDINBURG
'031911041,RIO HONDO MIDDLE,83,480,100,49,9,544,480,0,0,453,94.4,57,11.9,0,0,73,15.2,0,0,B,RIO HONDO ISD,'031911,8,5,'05 - 08,M,'01,REGION 01: EDINBURG
'031911102,RIO HONDO EL,88,239,39.6,67,13,514,604,0,0,532,88.1,96,15.9,0,0,94,15.6,0,0,B,RIO HONDO ISD,'031911,4,EE,'EE - 04,E,'01,REGION 01: EDINBURG
'031912001,SAN BENITO H S,81,2053,100,239,10.9,2202,2053,0,0,1732,84.4,361,17.6,0,0,211,10.3,0,0,B,SAN BENITO CISD,'031912,12,10,'10 - 12,S,'01,REGION 01: EDINBURG
'031912003,CAMERON CO J J A E P,.,16,100,16,88.9,18,16,0,0,16,100,3,18.8,0,0,2,12.5,0,0,Not Rated,SAN BENITO CISD,'031912,11,8,'08 - 11,S,'01,REGION 01: EDINBURG
'031912005,AMADOR R RODRIGUEZ JUVENILE BOOT CAMP,.,8,100,31,100,31,8,0,0,8,100,2,25,0,0,3,37.5,0,0,Not Rated,SAN BENITO CISD,'031912,10,8,'08 - 10,S,'01,REGION 01: EDINBURG
'031912007,SAN BENITO VETERANS MEMORIAL ACADEMY,72,727,100,88,11.4,772,727,0,0,643,88.4,169,23.2,0,0,81,11.1,0,0,C,SAN BENITO CISD,'031912,9,9,'09 - 09,S,'01,REGION 01: EDINBURG
'031912008,RGV YOUTH RECOVERY HOME,.,10,100,50,100,50,10,0,0,10,100,0,0,0,0,1,10,0,0,Not Rated,SAN BENITO CISD,'031912,11,8,'08 - 11,S,'01,REGION 01: EDINBURG
'031912009,GATEWAY TO GRADUATION ACADEMY,64,80,100,91,57.6,158,80,0,0,79,98.8,19,23.8,0,0,6,7.5,0,0,Not Rated: SB 1365,SAN BENITO CISD,'031912,12,9,'09 - 12,S,'01,REGION 01: EDINBURG
'031912041,BERTA CABAZA MIDDLE,84,813,100,60,6.9,867,813,0,0,696,85.6,152,18.7,0,0,102,12.5,0,0,B,SAN BENITO CISD,'031912,8,6,'06 - 08,M,'01,REGION 01: EDINBURG
'031912042,MILLER JORDAN MIDDLE,78,699,100,71,8.6,827,699,0,0,641,91.7,192,27.5,0,0,77,11,0,0,C,SAN BENITO CISD,'031912,8,6,'06 - 08,M,'01,REGION 01: EDINBURG
'031912043,SAN BENITO RIVERSIDE MIDDLE,82,571,100,44,7.2,613,571,0,0,528,92.5,201,35.2,0,0,64,11.2,0,0,B,SAN BENITO CISD,'031912,8,6,'06 - 08,M,'01,REGION 01: EDINBURG
'031912101,FRED BOOTH,84,195,44.5,47,12.4,379,438,0,0,421,96.1,144,32.9,0,0,58,13.2,0,0,B,SAN BENITO CISD,'031912,5,PK,'PK - 05,E,'01,REGION 01: EDINBURG
'031912103,CASH EL,90,262,43.7,56,11,511,600,0,0,522,87,130,21.7,0,0,72,12,0,0,A,SAN BENITO CISD,'031912,5,EE,'EE - 05,E,'01,REGION 01: EDINBURG
'031912104,DOWNS FINE ARTS ACADEMY,83,144,43.4,19,7,272,332,0,0,240,72.3,19,5.7,0,0,61,18.4,0,0,B,SAN BENITO CISD,'031912,5,EE,'EE - 05,E,'01,REGION 01: EDINBURG
'031912108,RANGERVILLE EL,86,112,50.7,16,7.6,210,221,0,0,199,90,77,34.8,0,0,15,6.8,0,0,B,SAN BENITO CISD,'031912,5,PK,'PK - 05,E,'01,REGION 01: EDINBURG
'031912109,ROBERTS EL,79,114,39.9,39,16.4,238,286,0,0,279,97.6,83,29,0,0,35,12.2,0,0,C,SAN BENITO CISD,'031912,5,PK,'PK - 05,E,'01,REGION 01: EDINBURG
'031912110,SULLIVAN ENVIRONMENTAL SCIENCE ACADEMY,82,183,51.7,40,12,332,354,0,0,327,92.4,47,13.3,0,0,43,12.1,0,0,B,SAN BENITO CISD,'031912,5,PK,'PK - 05,E,'01,REGION 01: EDINBURG
'031912112,LA ENCANTADA EL,93,177,39.1,35,11.1,315,453,0,0,431,95.1,190,41.9,0,0,41,9.1,0,0,A,SAN BENITO CISD,'031912,5,EE,'EE - 05,E,'01,REGION 01: EDINBURG
'031912114,LA PALOMA EL,90,187,44.3,38,10.2,373,422,0,0,387,91.7,193,45.7,0,0,43,10.2,0,0,A,SAN BENITO CISD,'031912,5,PK,'PK - 05,E,'01,REGION 01: EDINBURG
'031912115,RAUL GARZA JR STEAM ACADEMY,92,216,48.1,18,4.6,391,449,0,0,383,85.3,95,21.2,0,0,57,12.7,0,0,A,SAN BENITO CISD,'031912,5,EE,'EE - 05,E,'01,REGION 01: EDINBURG
'031912116,JUDGE OSCAR DE LA FUENTE EL,81,125,46.6,49,19.8,248,268,0,0,238,88.8,59,22,0,0,33,12.3,0,0,B,SAN BENITO CISD,'031912,5,PK,'PK - 05,E,'01,REGION 01: EDINBURG
'031912117,ANGELA GERUSA LEAL EL,86,189,51.5,41,13.1,314,367,0,0,348,94.8,221,60.2,0,0,44,12,0,0,B,SAN BENITO CISD,'031912,5,PK,'PK - 05,E,'01,REGION 01: EDINBURG
'031912201,HESTER JUVENILE DETENT,.,34,100,184,100,184,34,0,0,34,100,14,41.2,0,0,9,26.5,0,0,Not Rated,SAN BENITO CISD,'031912,11,7,'07 - 11,S,'01,REGION 01: EDINBURG
'031913001,SANTA MARIA H S,82,153,100,13,7.8,167,153,0,0,153,100,46,30.1,0,0,13,8.5,0,0,B,SANTA MARIA ISD,'031913,12,9,'09 - 12,S,'01,REGION 01: EDINBURG
'031913007,SANTA MARIA ACADEMIC ACADEMY-OPTIONS CAMPUS (6-12),47,13,100,3,12,25,13,0,0,13,100,3,23.1,0,0,1,7.7,0,0,Not Rated: SB 1365,SANTA MARIA ISD,'031913,12,10,'10 - 12,S,'01,REGION 01: EDINBURG
'031913042,SANTA MARIA MIDDLE,71,122,100,11,7.7,143,122,.,0,121,99.2,46,37.7,.,0,15,12.3,0,0,C,SANTA MARIA ISD,'031913,8,6,'06 - 08,M,'01,REGION 01: EDINBURG
'031913101,TONY GONZALEZ EL,88,114,44.7,15,7.8,193,255,.,0,254,99.6,121,47.5,.,0,16,6.3,.,0,B,SANTA MARIA ISD,'031913,5,PK,'PK - 05,E,'01,REGION 01: EDINBURG
'031914001,SANTA ROSA H S,87,283,100,14,4.2,330,283,0,0,252,89,35,12.4,0,0,49,17.3,0,0,B,SANTA ROSA ISD,'031914,12,9,'09 - 12,S,'01,REGION 01: EDINBURG
'031914041,JO NELSON MIDDLE,79,202,100,16,7.3,219,202,0,0,182,90.1,54,26.7,0,0,33,16.3,0,0,C,SANTA ROSA ISD,'031914,8,6,'06 - 08,M,'01,REGION 01: EDINBURG
'031914101,ELMA E BARRERA EL,88,190,52.3,40,11.4,351,363,0,0,328,90.4,80,22,0,0,57,15.7,0,0,B,SANTA ROSA ISD,'031914,5,EE,'EE - 05,E,'01,REGION 01: EDINBURG
'031916001,SOUTH TEXAS ISD WORLD SCHOLARS,97,534,100,20,3.5,566,534,.,0,296,55.4,66,12.4,.,0,34,6.4,.,0,A,SOUTH TEXAS ISD,'031916,12,9,'09 - 12,S,'01,REGION 01: EDINBURG
'031916003,SOUTH TEXAS ISD MEDICAL PROFESSIONS,90,864,100,51,5.6,904,864,.,0,603,69.8,82,9.5,.,0,29,3.4,.,0,A,SOUTH TEXAS ISD,'031916,12,9,'09 - 12,S,'01,REGION 01: EDINBURG
'031916004,SOUTH TEXAS ISD HEALTH PROFESSIONS,91,940,100,22,2.9,764,940,.,0,451,48,122,13,.,0,36,3.8,.,0,A,SOUTH TEXAS ISD,'031916,12,6,'06 - 12,B,'01,REGION 01: EDINBURG
'031916005,SOUTH TEXAS ISD SCIENCE ACADEMY,96,764,100,33,4.1,813,764,.,0,310,40.6,33,4.3,.,0,30,3.9,.,0,A,SOUTH TEXAS ISD,'031916,12,9,'09 - 12,S,'01,REGION 01: EDINBURG
'031916041,SOUTH TEXAS ISD PREPARATORY ACADEMY,97,614,100,29,4.6,633,614,.,0,262,42.7,102,16.6,.,0,19,3.1,.,0,A,SOUTH TEXAS ISD,'031916,8,7,'07 - 08,M,'01,REGION 01: EDINBURG
'031916042,SOUTH TEXAS ISD RISING SCHOLARS ACADEMY,95,535,100,22,3.6,611,535,.,0,284,53.1,64,12,.,0,17,3.2,.,0,A,SOUTH TEXAS ISD,'031916,8,7,'07 - 08,M,'01,REGION 01: EDINBURG
'032902002,PITTSBURG H S,91,692,100,84,11.5,728,692,0,0,521,75.3,68,9.8,0,0,74,10.7,0,0,A,PITTSBURG ISD,'032902,12,9,'09 - 12,S,'08,REGION 08: MT PLEASANT
'032902041,PITTSBURG J H,94,381,100,48,11.2,427,381,0,0,301,79,55,14.4,0,0,41,10.8,0,0,A,PITTSBURG ISD,'032902,8,7,'07 - 08,M,'08,REGION 08: MT PLEASANT
'032902103,PITTSBURG EL,86,325,63.1,72,14.1,511,515,0,0,405,78.6,152,29.5,0,0,67,13,0,0,B,PITTSBURG ISD,'032902,4,2,'02 - 04,E,'08,REGION 08: MT PLEASANT
'032902104,PITTSBURG PRI,86,0,0,28,13.2,212,430,0,0,348,80.9,113,26.3,0,0,40,9.3,0,0,B,PITTSBURG ISD,'032902,1,EE,'EE - 01,E,'08,REGION 08: MT PLEASANT
'032902105,PITTSBURG INT,94,334,100,47,12.3,381,334,0,0,270,80.8,69,20.7,0,0,38,11.4,0,0,A,PITTSBURG ISD,'032902,6,5,'05 - 06,M,'08,REGION 08: MT PLEASANT
'033901001,GROOM SCHOOL,92,119,83.2,13,9.6,135,143,0,0,36,25.2,2,1.4,0,0,30,21,0,0,A,GROOM ISD,'033901,12,PK,'PK - 12,B,'16,REGION 16: AMARILLO
'033902001,PANHANDLE H S,97,183,100,33,15.4,214,183,0,0,44,24,1,0.5,0,0,20,10.9,0,0,A,PANHANDLE ISD,'033902,12,9,'09 - 12,S,'16,REGION 16: AMARILLO
'033902041,PANHANDLE J H,90,167,100,15,8.8,171,167,.,0,50,29.9,3,1.8,.,0,26,15.6,0,0,A,PANHANDLE ISD,'033902,8,6,'06 - 08,M,'16,REGION 16: AMARILLO
'033902101,PANHANDLE EL,94,124,39.6,41,16.7,245,313,0,0,108,34.5,7,2.2,0,0,37,11.8,0,0,A,PANHANDLE ISD,'033902,5,EE,'EE - 05,E,'16,REGION 16: AMARILLO
'033904001,WHITE DEER H S,88,144,100,18,11,164,144,0,0,67,46.5,3,2.1,0,0,21,14.6,0,0,B,WHITE DEER ISD,'033904,12,7,'07 - 12,S,'16,REGION 16: AMARILLO
'033904102,WHITE DEER EL,72,105,53.8,19,10.6,179,195,.,0,98,50.3,8,4.1,.,0,20,10.3,0,0,C,WHITE DEER ISD,'033904,6,PK,'PK - 06,E,'16,REGION 16: AMARILLO
'034901001,ATLANTA H S,84,510,100,77,14.8,519,510,0,0,300,58.8,4,0.8,0,0,64,12.5,0,0,B,ATLANTA ISD,'034901,12,9,'09 - 12,S,'08,REGION 08: MT PLEASANT
'034901042,ATLANTA MIDDLE,80,377,100,56,12.8,438,377,0,0,259,68.7,2,0.5,0,0,45,11.9,0,0,B,ATLANTA ISD,'034901,8,6,'06 - 08,M,'08,REGION 08: MT PLEASANT
'034901106,ATLANTA EL,91,427,100,59,13.6,433,427,0,0,295,69.1,14,3.3,0,0,60,14.1,0,0,A,ATLANTA ISD,'034901,5,3,'03 - 05,E,'08,REGION 08: MT PLEASANT
'034901107,ATLANTA PRI,91,0,0,55,16.1,341,592,0,0,438,74,22,3.7,0,0,75,12.7,0,0,A,ATLANTA ISD,'034901,2,EE,'EE - 02,E,'08,REGION 08: MT PLEASANT
'034902001,AVINGER SCHOOL,87,105,76.6,34,23.3,146,137,0,0,108,78.8,2,1.5,0,0,13,9.5,0,0,B,AVINGER ISD,'034902,12,PK,'PK - 12,B,'08,REGION 08: MT PLEASANT
'034903001,HUGHES SPRINGS H S,95,333,100,37,10.6,348,333,0,0,171,51.4,12,3.6,0,0,32,9.6,0,0,A,HUGHES SPRINGS ISD,'034903,12,9,'09 - 12,S,'08,REGION 08: MT PLEASANT
'034903041,HUGHES SPRINGS J H,81,272,100,41,13.9,296,272,0,0,136,50,12,4.4,0,0,32,11.8,0,0,B,HUGHES SPRINGS ISD,'034903,8,6,'06 - 08,M,'08,REGION 08: MT PLEASANT
'034903101,HUGHES SPRINGS EL,88,224,41.4,61,14.6,418,541,0,0,317,58.6,35,6.5,0,0,98,18.1,0,0,B,HUGHES SPRINGS ISD,'034903,5,EE,'EE - 05,E,'08,REGION 08: MT PLEASANT
'034905002,LINDEN-KILDARE H S,89,164,100,27,13,207,164,0,0,100,61,4,2.4,0,0,26,15.9,0,0,B,LINDEN-KILDARE CISD,'034905,12,9,'09 - 12,S,'08,REGION 08: MT PLEASANT
'034905041,MAE LUSTER STEPHENS J H,83,140,100,35,22.2,158,140,.,0,91,65,13,9.3,.,0,18,12.9,0,0,B,LINDEN-KILDARE CISD,'034905,8,6,'06 - 08,M,'08,REGION 08: MT PLEASANT
'034905102,LINDEN EL,81,146,43.7,47,19.9,236,334,0,0,247,74,20,6,0,0,50,15,0,0,B,LINDEN-KILDARE CISD,'034905,5,PK,'PK - 05,E,'08,REGION 08: MT PLEASANT
'034906001,MCLEOD H S,94,114,100,11,8.2,134,114,0,0,48,42.1,0,0,0,0,9,7.9,0,0,A,MCLEOD ISD,'034906,12,9,'09 - 12,S,'08,REGION 08: MT PLEASANT
'034906041,MCLEOD MIDDLE,81,133,100,15,11.6,129,133,.,0,76,57.1,0,0,.,0,20,15,0,0,B,MCLEOD ISD,'034906,8,5,'05 - 08,M,'08,REGION 08: MT PLEASANT
'034906101,MCLEOD EL,94,53,34.9,21,16.9,124,152,.,0,95,62.5,0,0,.,0,22,14.5,.,0,A,MCLEOD ISD,'034906,4,PK,'PK - 04,E,'08,REGION 08: MT PLEASANT
'034907001,QUEEN CITY H S,90,301,100,99,24.7,401,301,0,0,166,55.1,0,0,0,0,33,11,0,0,A,QUEEN CITY ISD,'034907,12,9,'09 - 12,S,'08,REGION 08: MT PLEASANT
'034907041,MORRIS UPCHURCH MIDDLE,79,270,100,65,21.3,305,270,0,0,161,59.6,1,0.4,0,0,44,16.3,0,0,C,QUEEN CITY ISD,'034907,8,5,'05 - 08,M,'08,REGION 08: MT PLEASANT
'034907101,J K HILEMAN EL,90,112,30.9,49,17.6,278,362,.,0,265,73.2,2,0.6,.,0,75,20.7,.,0,A,QUEEN CITY ISD,'034907,4,EE,'EE - 04,E,'08,REGION 08: MT PLEASANT
'034909001,BLOOMBURG SCHOOL,92,177,73.8,50,20.7,242,240,0,0,191,79.6,5,2.1,0,0,28,11.7,0,0,A,BLOOMBURG ISD,'034909,12,PK,'PK - 12,B,'08,REGION 08: MT PLEASANT
'035901001,DIMMITT H S,79,330,100,38,10.7,355,330,0,0,286,86.7,63,19.1,0,0,22,6.7,0,0,C,DIMMITT ISD,'035901,12,9,'09 - 12,S,'16,REGION 16: AMARILLO
'035901041,DIMMITT MIDDLE,77,264,100,24,8.4,286,264,.,0,231,87.5,72,27.3,.,0,29,11,0,0,C,DIMMITT ISD,'035901,8,6,'06 - 08,M,'16,REGION 16: AMARILLO
'035901102,RICHARDSON EL,76,249,44.5,40,9,445,559,.,0,488,87.3,151,27,.,0,43,7.7,.,0,C,DIMMITT ISD,'035901,5,PK,'PK - 05,E,'16,REGION 16: AMARILLO
'035902001,HART ISD,81,137,65.6,13,7.1,184,209,0,0,180,86.1,54,25.8,0,0,26,12.4,0,0,B,HART ISD,'035902,12,PK,'PK - 12,B,'16,REGION 16: AMARILLO
'035903001,NAZARETH SCHOOL,98,181,72.4,4,1.8,220,250,0,0,48,19.2,1,0.4,0,0,18,7.2,0,0,A,NAZARETH ISD,'035903,12,PK,'PK - 12,B,'16,REGION 16: AMARILLO
'036901001,ANAHUAC H S,89,413,100,58,13.9,418,413,.,0,234,56.7,14,3.4,0,0,42,10.2,.,0,B,ANAHUAC ISD,'036901,12,9,'09 - 12,S,'04,REGION 04: HOUSTON
'036901041,ANAHUAC MIDDLE,82,326,100,34,9.9,342,326,.,0,184,56.4,22,6.7,.,0,32,9.8,.,0,B,ANAHUAC ISD,'036901,8,6,'06 - 08,M,'04,REGION 04: HOUSTON
'036901101,ANAHUAC EL,87,300,46.2,77,14.8,522,650,.,0,371,57.1,68,10.5,.,0,97,14.9,.,0,B,ANAHUAC ISD,'036901,5,EE,'EE - 05,E,'04,REGION 04: HOUSTON
'036902001,BARBERS HILL H S,91,1920,100,192,10.2,1877,1920,.,0,435,22.7,43,2.2,0,0,180,9.4,.,0,A,BARBERS HILL ISD,'036902,12,9,'09 - 12,S,'04,REGION 04: HOUSTON
'036902005,ALTERNATIVE SCHOOL,.,22,100,83,100,83,22,.,0,10,45.5,4,18.2,0,0,7,31.8,.,0,Not Rated,BARBERS HILL ISD,'036902,12,6,'06 - 12,B,'04,REGION 04: HOUSTON
'036902006,HIGHPOINT,.,5,100,7,100,7,5,.,0,5,100,0,0,0,0,0,0,.,0,Not Rated,BARBERS HILL ISD,'036902,11,10,'10 - 11,S,'04,REGION 04: HOUSTON
'036902042,BARBERS HILL MIDDLE NORTH,90,732,100,75,9.9,758,732,.,0,174,23.8,19,2.6,.,0,83,11.3,.,0,A,BARBERS HILL ISD,'036902,8,6,'06 - 08,M,'04,REGION 04: HOUSTON
'036902043,BARBERS HILL MIDDLE SOUTH,94,844,100,76,9,847,844,.,0,225,26.7,41,4.9,.,0,72,8.5,.,0,A,BARBERS HILL ISD,'036902,8,6,'06 - 08,M,'04,REGION 04: HOUSTON
'036902104,BARBERS HILL EL NORTH,96,688,70.6,126,12.7,991,975,.,0,235,24.1,10,1,.,0,125,12.8,.,0,A,BARBERS HILL ISD,'036902,5,2,'02 - 05,E,'04,REGION 04: HOUSTON
'036902105,BARBERS HILL EL SOUTH,89,793,73.4,121,11.2,1082,1081,.,0,310,28.7,97,9,.,0,116,10.7,.,0,B,BARBERS HILL ISD,'036902,5,2,'02 - 05,E,'04,REGION 04: HOUSTON
'036902302,EARLY CHILDHOOD CENTER,89,0,0,60,10.5,572,1008,.,0,319,31.6,52,5.2,.,0,91,9,.,0,B,BARBERS HILL ISD,'036902,1,KG,'KG - 01,E,'04,REGION 04: HOUSTON
'036902303,BARBERS HILL PREKINDERGARTEN CENTER,89,0,0,.,.,.,209,.,0,85,40.7,25,12,.,0,48,23,.,0,B,BARBERS HILL ISD,'036902,PK,EE,'EE - PK,E,'04,REGION 04: HOUSTON
'036903001,EAST CHAMBERS H S,87,454,100,61,13.3,459,454,0,0,275,60.6,85,18.7,0,0,45,9.9,0,0,B,EAST CHAMBERS ISD,'036903,12,9,'09 - 12,S,'05,REGION 05: BEAUMONT
'036903041,EAST CHAMBERS J H,81,338,100,50,13.7,366,338,0,0,221,65.4,91,26.9,0,0,33,9.8,0,0,B,EAST CHAMBERS ISD,'036903,8,6,'06 - 08,M,'05,REGION 05: BEAUMONT
'036903101,EAST CHAMBERS EL,82,342,100,39,11.1,351,342,0,0,218,63.7,129,37.7,0,0,55,16.1,0,0,B,EAST CHAMBERS ISD,'036903,5,3,'03 - 05,E,'05,REGION 05: BEAUMONT
'036903103,EAST CHAMBERS PRI,82,0,0,16,7.1,226,406,0,0,280,69,125,30.8,0,0,51,12.6,0,0,B,EAST CHAMBERS ISD,'036903,2,EE,'EE - 02,E,'05,REGION 05: BEAUMONT
'037901001,ALTO H S,85,163,100,30,14.3,210,163,0,0,124,76.1,19,11.7,0,0,34,20.9,0,0,B,ALTO ISD,'037901,12,9,'09 - 12,S,'07,REGION 07: KILGORE
'037901041,ALTO MIDDLE,87,166,100,20,10.4,192,166,0,0,129,77.7,40,24.1,0,0,33,19.9,0,0,B,ALTO ISD,'037901,8,5,'05 - 08,M,'07,REGION 07: KILGORE
'037901101,ALTO EL,90,75,33,30,16.3,184,227,0,0,165,72.7,56,24.7,0,0,31,13.7,0,0,A,ALTO ISD,'037901,4,PK,'PK - 04,E,'07,REGION 07: KILGORE
'037904002,JACKSONVILLE H S,82,1264,100,223,16.6,1345,1264,.,0,983,77.8,219,17.3,0,0,131,10.4,.,0,B,JACKSONVILLE ISD,'037904,12,9,'09 - 12,S,'07,REGION 07: KILGORE
'037904004,COMPASS CENTER,.,20,100,55,100,55,20,.,0,15,75,3,15,0,0,4,20,.,0,Not Rated,JACKSONVILLE ISD,'037904,11,5,'05 - 11,B,'07,REGION 07: KILGORE
'037904042,JACKSONVILLE MIDDLE,76,715,100,88,11.3,779,715,.,0,592,82.8,239,33.4,.,0,102,14.3,.,0,C,JACKSONVILLE ISD,'037904,8,7,'07 - 08,M,'07,REGION 07: KILGORE
